Название региона,Код региона,фактическая температура январь,отклонение от нормы 1991-2020 январь,фактическая температура июль,отклонение от нормы 1991-2020 июль,"сумма осадков, мм январь","отношение к норме 1991-2020, %, январь","сумма осадков, мм, июль","отношение к норме 1991-2020, %, июль"
Алтайский край,"22, 122","-11,7","4,4","21,6","1,5",38,180,62,90
Амурская область,28,"-29,9","-4,2","21,1","1,2",6,79,76,58
Архангельская область,29,"-9,3","4,4","14,4","1,1",34,102,90,163
Астраханская область,"30, 130","-5,3","-0,8",26,"0,2",2,12,35,168
Белгородская область,31,"-4,6","1,2","20,6","-0,4",29,70,83,120
Брянская область,32,"-3,3","2,3","18,8","-0,6",22,52,78,95
Владимирская область,33,"-7,4","0,8","17,9","-1,2",18,39,98,136
Волгоградская область,"34, 134","-7,1","-0,7","23,4","-0,2",14,38,33,83
Вологодская область,35,"-8,1","2,1","16,5","-1,2",37,89,172,223
Воронежская область,"36, 136","-5,9","0,2","21,1","-0,5",20,45,100,170
Еврейская автономная область,79,"-24,4","-3,2","22,1","0,9",2,25,139,93
Забайкальский край,75,"-25,6","0,5","18,5",0,3,75,101,103
Ивановская область,37,"-8,1","0,9",18,-1,22,50,70,98
Иркутская область,"38, 138","-22,8","-0,6","18,5","0,7",17,121,121,147
Кабардино-Балкарская Республика,07,"-1,7","0,2","23,7",0,10,45,79,136
Калининградская область,"39, 91, 139","1,9","3,3","17,6","-0,8",59,102,57,68
Калужская область,40,"-4,3","2,1","17,9","-0,8",34,79,83,97
Камчатский край,41,"-13,1","-0,6","13,6","0,9",63,121,66,115
Карачаево-Черкесская Республика,"09, 109","-2,3","1,2","16,5","-0,1",5,11,82,88
Кемеровская область,"42, 142","-13,4","3,5","19,6","0,9",65,215,94,121
Кировская область,43,-12,"-0,2","18,7","0,2",36,84,117,149
Костромская область,44,"-9,3",1,"17,7","-0,6",26,58,129,170
Краснодарский край,"23, 93, 123, 193, 323","2,3","1,7","23,8","-0,1",39,50,87,135
Красноярский край,"24, 84, 88, 124","-29,4","-3,5","15,7","0,8",32,138,65,116
Курганская область,45,-13,"2,6","22,8","3,4",19,101,35,54
Курская область,46,"-4,3","1,6","19,6","-0,5",28,62,197,253
"Ленинградская область
 (включая г. Санкт-Петербург)","47, 147, 78, 98, 178, 198","-4,1","2,3","16,7","-1,2",61,120,90,117
Липецкая область,48,"-6,3","0,9","19,5","-0,9",15,42,132,209
Магаданская область,49,"-28,5","-1,1","14,3","0,3",27,149,82,139
Московская область (включая г. Москву),"50, 90, 150, 190, 250, 550, 750, 790, 77, 97, 99, 177, 197, 199, 777, 797, 799, 977","-5,5","1,5","17,8","-1,2",35,80,160,205
Мурманская область,51,"-5,1",5,"13,1","0,2",47,130,47,74
Ненецкий автономный округ,83,"-9,7","5,8","12,4","2,2",27,99,40,95
